Lawn Mowing,40.00,0.33,contractorimages/1,2.50
Junk Removal,550.00,2,contractorimages/2,150.00
Junk Removal,275.00,1,contractorimages/3,75.00
Junk Removal,"1,100.00",3.5,contractorimages/4,400.00
Junk Removal,670.00,2.5,contractorimages/5,250.00
Junk Removal,200.00,0.55,contractorimages/6,65.00
Lawn Mowing,40.00,0.33,contractorimages/7,3.00
Lawn Mowing,80.00,0.6,contractorimages/8,10.00
Lawn Mowing,70.00,0.4,contractorimages/9,3.00
Lawn Mowing,80.00,0.6,contractorimages/10,10.00
Lawn Mowing,120.00,1,contractorimages/11,18.00
Lawn Mowing,45.00,0.33,contractorimages/12,3.00
Lawn Mowing,35.00,0.3,contractorimages/13,2.50
Lawn Mowing,30.00,0.25,contractorimages/14,2.50
Lawn Mowing,30.00,0.3,contractorimages/15,3.00
Lawn Mowing,20.00,0.1,contractorimages/16,1.00
Foliage Removal,200.00,0.75,contractorimages/17,65.00
Weed Whacking,120.00,1.25,contractorimages/18,7.00
Mulch,425.00,2.5,contractorimages/19,120.00
Mulch,680.00,4,contractorimages/20,200.00
Mulch,295.00,1.75,contractorimages/21,60.00
Overgrown Grass,180.00,1.75,contractorimages/22,10.00
Overgrown Grass,55.00,0.6,contractorimages/23,4.00
Overgrown Grass,55.00,0.6,contractorimages/24,4.00
Weed Pulling,100.00,0.75,contractorimages/25,0.00
Seeding,195.00,0.75,contractorimages/26,75.00
Lawn Mowing,17.00,0.15,contractorimages/27,1.00
Lawn Mowing,17.00,0.15,contractorimages/28,1.00
Lawn Mowing,21.00,0.15,contractorimages/29,1.10
Lawn Mowing,10.00,0.05,contractorimages/30,0.00
Lawn Mowing,40.00,0.2,contractorimages/31,3.00
Weed Pulling ,7.00,0.1,contractorimages/32,0.00
Lawn Mowing,10.00,0.1,contractorimages/33,0.00
Overgrown Grass,200.00,1.25,contractorimages/34,5.00
Lawn Mowing,20.00,0.15,contractorimages/35,2.00
Lawn Mowing,25.00,0.25,contractorimages/36,2.00
Mulch,250.00,1.5,contractorimages/37,60.00
Lawn Mowing,30.00,0.15,contractorimages/38,2.00
Lawn Mowing,17.00,0.15,contractorimages/39,1.00
Mulch,270.00,1.5,contractorimages/40,70.00
Mulch,270.00,1.5,contractorimages/41,70.00
Overgrown Grass,50.00,0.5,contractorimages/42,4.00
Overgrown Grass,35.00,0.3,contractorimages/43,2.00
Overgrown Grass,20.00,0.1,contractorimages/44,1.00
Lawn Mowing,15.00,0.1,contractorimages/45,1.00
Lawn Mowing,15.00,0.1,contractorimages/46,1.00
Mulch,720.00,3,contractorimages/47,320.00
Seeding,400.00,1.75,contractorimages/48,200.00
Seeding,160.00,0.75,contractorimages/49,60.00
Lawn Mowing,16.00,0.15,contractorimages/50,1.00
Mulch,180.00,1,contractorimages/51,80.00
Seeding,280.00,1.5,contractorimages/52,100.00
Lawn Mowing,60.00,0.75,contractorimages/53,4.00
Foliage Removal,590.00,2.5,contractorimages/54,150.00
Leaf Removal,80.00,0.75,contractorimages/55,4.00
Leaf Removal,120.00,1,contractorimages/56,4.00
Bush Trimming,290.00,2.33,contractorimages/57,5.00
Weed Pulling,150.00,1.5,contractorimages/58,1.00
Mulch,490.00,2.5,contractorimages/59,150.00
Leaf Removal,175.00,1.75,contractorimages/60,5.00
Weed Whacking,30.00,0.3,contractorimages/61,30.00
Junk Removal,600.00,3,contractorimages/62,180.00
Junk Removal,410.00,2,contractorimages/63,150.00
Mulch,375.00,2.5,contractorimages/64,110.00
Lawn Mowing,17.00,0.15,contractorimages/65,3.00
Mulch,270.00,1.5,contractorimages/66,80.00
Junk Removal,"1,000.00",4.5,contractorimages/67,370.00
Junk Removal,190.00,1,contractorimages/68,80.00
Junk Removal,590.00,2.33,contractorimages/69,250.00
Junk Removal,445.00,1.5,contractorimages/70,230.00
Junk Removal,230.00,0.75,contractorimages/71,75.00
Junk Removal,120.00,0.5,contractorimages/72,65.00
Junk Removal,590.00,3.3,contractorimages/73,230.00
Lawn Mowing,80.00,1,contractorimages/74,4.00
Mulch,45.00,0.33,contractorimages/75,20.00
Lawn Mowing,80.00,0.75,contractorimages/76,7.00
Lawn Mowing,30.00,0.5,contractorimages/77,3.00
Lawn Mowing,50.00,0.75,contractorimages/78,4.00
Lawn Mowing,25.00,0.3,contractorimages/79,3.00
Seeding,100.00,0.5,contractorimages/80,40.00
Lawn Mowing,20.00,0.2,contractorimages/81,3.00
Lawn Mowing,18.00,0.2,contractorimages/82,3.00
Lawn Mowing,20.00,0.2,contractorimages/83,3.00
Seeding,300.00,1.5,contractorimages/84,100.00
Lawn Mowing,30.00,0.3,contractorimages/85,5.00
Lawn Mowing,15.00,0.25,contractorimages/86,2.00
Lawn Mowing,20.00,0.3,contractorimages/87,3.00
Lawn Mowing,20.00,0.3,contractorimages/88,3.00
Lawn Mowing,20.00,0.3,contractorimages/89,3.00
Mulch,420.00,2.5,contractorimages/90,160.00
Weed Whacking,90.00,1,contractorimages/91,7.00
Mulch,590.00,3,contractorimages/92,240.00
Lawn Mowing,18.00,0.3,contractorimages/93,2.00
Mulch,95.00,0.5,contractorimages/94,40.00
Mulch,400.00,1.5,contractorimages/95,180.00
Mulch,475.00,2.5,contractorimages/96,200.00
Foliage Removal,10.00,0.1,contractorimages/97,0.00
Foliage Removal,200.00,2,contractorimages/98,3.00
Weed Whacking,80.00,1,contractorimages/99,3.00
Lawn Mowing,15.00,0.2,contractorimages/100,2.00
Overgrown Grass,35.00,0.5,contractorimages/101,4.00
Lawn Mowing,20.00,0.3,contractorimages/102,3.00
Mulch,475.00,2.5,contractorimages/103,180.00
Lawn Mowing,20.00,0.3,contractorimages/104,3.00
Lawn Mowing,13.00,0.1,contractorimages/105,2.00
Foliage Removal,225.00,1,contractorimages/106,65.00
Lawn Mowing,15.00,0.3,contractorimages/107,3.00
Lawn Mowing,15.00,0.3,contractorimages/108,3.00
Leaf Removal,80.00,1,contractorimages/109,5.00
Lawn Mowing,20.00,0.2,contractorimages/110,3.00